"barang udah sampe sengan selamat, tapi belum di coba, semogga baik baik aja, klo normal next order",1
"thanks gak, barang sudah sampai, langsung test and cek keasliannya... ternyata beneran original bukan kawekawe. mantab lah pokoknya....",1
"Mungkin sellernya sibuk. Tapi untung jaminannya laz mall :v 100% trust... barang ok, pengiriman lumayan cepet lebih cepet dari estimasi, kurrir ramah. Dahlah itu aja;",1
"Barang berfungsi tapi suaranya jernih ketika menggunakan aplikasi perekam. Sedangkan ketika menggunakan camera, suaranya pelan tidak seperti yang saya harapkan. Tapi bagus barangnya, trims;",1
Kualitas produk sangat baik..... Produk original.....Respon penjual sangat baik.......Barang sesuai foto.....,1
maantaaaaaaaaap kualitas barangnya bagus dan keren,1
"barang sudah saya terima, dan kualitas produknya bagus banget",1
"kualitas baik, cepat sampai. konektor 6.35 tidak berfungsi kak.",1
"barang bgus,jangan ragu, semoga awet. terimakasih lazada",1
okelah keren,1
"barang sudah diterima dengan baik, packing aman, barang original, harga termurah",1
"alhamdulillah, pesanan udah sampai. kualitas produk sudah dicoba. mantap.. ",1
"terimakasih NAXEN INDONESIA g sia"" nungggu lama brg ny bgs bgt reallpictt",1
ok sesuai ..,1
"Super Duper Mic. Kualitasnya suaranya jernih, noise dari suara angin dan sumber lainnya berkurang 80%. Cocok buat rekaman vlog, youtube dan lain lain.",1
"Barang berfungsi dgn baik, sangat puas dengan produk ini. Thanks Lazada.. maju terus yah seller. Gbu",1
"Barang bagus,gk da yg rusak..berfungsi dg baik.. Hanya sj pengiriman lama..mungkin karna covid jg kali ,dan daerah sy juga jauh kalbar.. Pokonya puas pas dtg barangnya..makasih ",1
Alhamdulillah barang telah sampai dengan cepat dan aman.,1
"barang yang saya terima tidak tersegel, sudah terbuka, dosnya sudah rusak dan barcodenya tercoret",0
"Baru banget sampe lgs dibuka. Alhamdulillah lengkap, pas mau coba bingung juga pakenya gimana🤭 ada buku panduan sedikit membantu sih walaupun b.inggris. makasih seller...",1
"Paket sudah saya terima kemarin setelah 8 hari menunggu, packing baik dan kurirnya juga sopan. Microphonenya juga berfungsi dengan baik. cuma satu yang kurang, sellernya low respon.",1
Barangnya bagus sekali tapi pengirimannya agak lama ya maklumlah kan lagi korona kemarin itu saya bayarnya hari Senin Terus barangnya datangnya hari Minggu itu loh Pak Barangnya bagus banget,1
"barangnya sampe dengan slamat,dkasih bubble wrap dan berfungsi dengan baik...ga nyesel belinya..tks ",1
"mantap... barang da sampe dengan selamat, dan sudah d coba, berfungsi dengan baik, untuk pengiriman agak lama, mungkin karna covid-19 jd agak telat",1
"terimakasih barangnya sampai tepat waktu, barangnya juga bagus penbubgkusan juga rapih ngk ada yabg robek,  kualitas yang di hasilkan juga sangat bagus. ",1
Kualitas produk bagus. Kualitas suara baik dan worthy untuk seharga itu. Overall puas dengan produk ini. Pengiriman cepat. Packing bagus.,1
"terima kasih barang sampai dengan baik setelah 8 hari sesuai perkiraan, walau kardus sedikit penyok, alatnya aman, hasil perekaman sangat baik...kurirnya juga ramah..",1
Good .... Recomended seller ... Barang sesuai dan berfungsi dengan baik .. thankss lazada dan seller .. ,1
"Sudah dites, berfungsi dengan baik, pengiriman sangat cepat. Original. Tidak mengecewakan dan harga terjangkau.",1
"Barang dah sampai dengan cepat, kurir ramah dan bersahabat semoga awet dna berfungsi normal terima kasih lazada",1
"alhamdulillah barangnya sudah nyampai dengan selamat gak ada kendala barangnya suaranya mantul buat ngeyoutube terima kasih buat penjual barang,lazada dan kurirnya meskipun ada wabah gif19 masih di kirim juga semoga sehat selalu 👍 pokoknya gak nyesel beli disini 🙏",1
barangnya sudah sampai dengan selamat bagus juga tapi tolong buku panduan nya ada bahasa indonesia nya biar lebih mudah orang yang memasangnya. terimakasih,1
"Paket datang sesuai estimasi waktunya. Isinya lengkap sesuai deskripsi, mic nya berfungsi dengan baik. Noise handlingnya bagus yang penting deket sumber suara (2-5cm). Was a good purchase 👍",1
"barang bagus, original, sesuai deskripsi, pengiriman cepat di kondisi covid-19 gini, seller baik,, jgn sungkan² beli disini",
"pengiriman cepat, packingan aman bubble, barang sesuai deskripsi ori, kualitas bagus dan berfungsi. Thanks seller and Lazada!",1
paket sudah saya terima smuanya ok banget dan berfungsi untuk yg ini saya nggk kecewa smoga terus lancar dan amanah� ,1
"Alhamdulillah, sesuai ekspektasi. jempol dah, liat hasil audio nya di channel ane, ""huda mengaji"".. jgn lupa like dan subscribe nya ;)..terima kasih dan semoga sukses.",1
Bagus. Suaranya keren ,1
"Pengiriman cepat! 2 hari langsung sampai (domisili Jakarta), dari tanggal pelunasan. Packaging rapi dan super aman, gan! dibungkus bubble wrap! Wohoo! Kondisi dan kualitas produk MANTUL! Lengkap dengan surat garansi, baterai, dan colokan tambahan untuk ke kamera DSLR. Pokoknya mah tinggal dipake doang. Barusan juga udah nyoba, hadeuuuh. GOKS, MANTUL GAN! Jernih banget! Semoga awet, yes! RECOMMENDED ITEM, MUST BUY buat yang kebelet podcast-an atau mau jadi vlogger mah. Kualitasnya sesuai harga, warbiyasak! Cakeplah pokoknya. Makasih ya Seller, Thanks Lazada, dan makasih buat kang kurir yang sabar dan tetep profesional. Ahahahha. Ahey! ❤️❤️❤️",1
sangat baik dalam melayani. barang sesuai gambar ,1
UNBOXING DI CHANNEL Mbaeh Bae wkwkwkwk,1
kualitas produk sangat baik. produk original. harga produk sangat baik. kecepatan pengiriman kurang baik. ,1
"barang sudah d terima, udah di tes hasilnya cukup memuaskan walau pengiriman aga lama karna barangnya tertahan di sellernya, lain kali mohon untuk slalu mengutamakan pembeli, thanks",1
"Barang OK Banget, sudah check bisa digunakan dgn sangat baik. Semoga Awet. Pengiriman jg cepet banget nyampenya. Thanks ya Seller, Thanks Lazada",1
"Barang sudah sampai dengan selamat,packingnya jossss, rapi sekali,lapisan plastiknya luar biasa sangat menjaga barang di dalamnya. Joss lah pokoknya . Kurirnyapun sangat ramah dan baik..",1
"produk original harga oke punyaa.. makasih lazada, pengiriman oke punya juga. cuman belanja online lazada yang bisa.. 😁😁😁",1
mudah2an bagus ,1
"Sudah di coba dan bagus. Di pengiriman aja yang lumayan lama, 5 hari baru sampai ",1
"barang bagus, ori, dan penjualnya ramah ",1
"kirain rusak, ternyata setelah saya cari penjelasan nya di youtube.. harus download dulu aplikasi OPEN CAMERA.. karna tdk semua HP suport utk BOYA ini.. ternyata suara nya jadi clear.. dan bagus sekali.. sampe saya beli 2. ini yg selama ini ku cari, apa yg bagus utk nge Vlog.. Top pokonya. ",1
"Kualitas barang B+ : dicoba di smart phone jernih indoor/outdoor, sensitifitas lumayan tinggi (hati-hati suara sekeliking mudah bocor) , di laptop masih ada noise mungkin pengaruh laptop / aplikasi rekamanya, di Kamera DSLR blum nyoba,  Packing A. Komponen B+ : tempat batrei segede jempol. 
secara keseluruhan Bagus",0
"video berbicara, barang bagus saat pakai di hp, namun saat saya tes di kamera mirrorless Sony tidak berfungsi. Pengiriman agak lambat. respon sellernya kurang.",1
Walaupun pengiriman lama tapi kualitas barang dan suara emang juara. Terima kasih kurir yg tlh mengantarkan paket dgn selamat wlpn malam2. Thanks lazada. Sukses selalu untuk tokonya.,1
Bagus. Untuk HP & Laptop ga perlu pake baterai. Suara di HP jelas. Kebetulan HP support jd ga perlu pake aplikasi tambahan.,1
Pesanan sampai lebih cepat. barangnya sesuai dengan gambar dan deskripsi. Semoga penjual tetap mempertahankan sikap amanah.,1
"Unit sdh diterima sesuai jadwal. Kualitas unit msh dlm proses, kesan awal sih terlihat bhw ini bukan barang murahan atau kw, dari build quality, pouchnya dll. percobaan pertama recording di laptop worked well. Price to benefit rationya ok lah...",1
barang mendarat dengan aman,1
"sangat puas, barang sesuai orderan, sudah di coba mantul bgt. penguriman sangat cepat kurir ramah. terimakasih ",1
pilihan terbaik kalau untuk indoorrr. tapi kalau mau beli untuk outdoor  mendingan beli clip on mic yg blutooth atau wereles,1
Sudah di coba dan OK. Memang tidak bisa dipakai di semua HP karena memang ada hp yang tidak compatible dengan mic ini. Saya punya Lenovo dan Asus. Di Asus lancar tapi di Lenovo gak bisa di pakai. Bagaimanapun mic-nya OK.,1
"Kemasan bagus, tapih, cepat sampai...yg paling utama pyoduk kindisi baik, bisa di gunakan.... dan berfungis.... Tq ",1
"Alhamdulillah paket sudah datang sesuai jadwal.
Isi lengkap, berfungsi dengan baik, suara jernih.
Pokoknya recommended.
Terima kasih Lazada, Seller, Kurir.",1
Barang nya udah sampe tapi belom di buka...Semog bagus dan tak mengecewakan.. Abang kurirnya udah berlangganan.. Makasih lazada,1
"Barang lama dikirim sehingga lama sampai kpd saya, melewati estimasi waktu yg telah ditentukan di aplikasi. pelayanan sangat buruk.",0
"Barang bagus, sudah dicoba bisa untuk laptop dan smartphone. Kabelnya panjang banget. Dapat batre.
terima kasih.",1
